,BEGIN_YEAR,BEGIN_MONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,WFO,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,FLOOD_CAUSE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
0,2019,02,14,1610,201902,14,1905,133682,800014,HAWAII,15,2019,February,Flash Flood,HFO,0,0,0,0,0.00K,0.00K,Emergency Manager,Heavy Rain,20.9177,-156.3282,20.921999999999997,-156.3141
1,2019,02,23,1600,201902,23,1902,133684,800018,HAWAII,15,2019,February,Flash Flood,HFO,0,0,0,0,0.00K,0.00K,Emergency Manager,Heavy Rain,19.5721,-155.029,19.5738,-155.0273
2,2019,01,24,1300,201901,24,1500,135012,809140,VIRGINIA,51,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,Law Enforcement,Heavy Rain,38.8459,-77.2383,38.8467,-77.2375
3,2019,01,24,1300,201901,24,1500,135012,809141,VIRGINIA,51,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,Law Enforcement,Heavy Rain,38.9108,-77.363,38.9119,-77.3642
4,2019,01,24,1300,201901,24,1500,135012,809142,VIRGINIA,51,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,Law Enforcement,Heavy Rain,38.9182,-77.3015,38.9159,-77.2967
5,2019,01,24,1300,201901,24,1500,135012,809143,VIRGINIA,51,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,Law Enforcement,Heavy Rain,38.926,-77.2661,38.9249,-77.2639
6,2019,01,24,1308,201901,24,1508,135012,809144,VIRGINIA,51,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,State Official,Heavy Rain,38.7144,-77.1073,38.7147,-77.1072
7,2019,01,24,1150,201901,24,1350,135012,809134,VIRGINIA,51,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,State Official,Heavy Rain,38.7979,-77.3557,38.7981,-77.3542
8,2019,01,24,1300,201901,24,1500,135012,809135,VIRGINIA,51,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,Law Enforcement,Heavy Rain,38.77,-77.31,38.7706,-77.3088
9,2019,01,24,1300,201901,24,1500,135012,809139,VIRGINIA,51,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,Law Enforcement,Heavy Rain,38.7883,-77.2665,38.7877,-77.2658
10,2019,01,20,1227,201901,20,2258,134938,809113,WEST VIRGINIA,54,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,39.4485,-77.9266,39.3797,-77.9289
11,2019,01,20,709,201901,20,1353,134939,809114,VIRGINIA,51,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,38.7869,-77.4344,38.7955,-77.4393
12,2019,01,24,1725,201901,25,259,135012,809116,VIRGINIA,51,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,38.7869,-77.4342,38.7953,-77.4392
13,2019,01,24,2039,201901,24,2233,135012,809125,VIRGINIA,51,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,38.7321,-77.5324,38.7263,-77.5322
14,2019,01,24,1346,201901,24,1546,135012,809151,VIRGINIA,51,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,State Official,Heavy Rain,38.8478,-77.2477,38.8455,-77.2474
15,2019,01,24,1352,201901,24,1552,135012,809152,VIRGINIA,51,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,Department of Highways,Heavy Rain,38.8395,-77.5425,38.8394,-77.5401
16,2019,01,24,1400,201901,24,1600,135012,809153,VIRGINIA,51,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,State Official,Heavy Rain,38.8501,-77.59100000000001,38.8511,-77.5927
17,2019,01,24,1422,201901,24,1622,135012,809154,VIRGINIA,51,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,Broadcast Media,Heavy Rain,38.9306,-77.3059,38.9295,-77.3059
18,2019,01,24,1356,201901,24,1657,135015,809155,MARYLAND,24,2019,January,Flood,LWX,0,0,0,0,0.00K,0.00K,Fire Department/Rescue,Heavy Rain,39.2136,-77.09100000000001,39.2149,-77.0899
19,2019,03,13,1930,201903,13,2030,134025,802275,ARKANSAS,5,2019,March,Flash Flood,JAN,0,0,0,0,2.00K,0.00K,Law Enforcement,Heavy Rain,33.53,-91.43,33.5299,-91.4422
20,2019,01,20,215,201901,20,1730,132589,793439,WEST VIRGINIA,54,2019,January,Flood,RLX,0,0,0,0,2.00K,0.00K,River/Stream Gage,Heavy Rain,38.7202,-80.0064,38.8074,-79.907
21,2019,01,16,1300,201901,16,1500,134345,805121,CALIFORNIA,6,2019,January,Flash Flood,SGX,0,0,0,0,20.00K,10.00K,Fire Department/Rescue,Heavy Rain / Burn Area,33.7953,-117.5375,33.7074,-117.4573
22,2019,01,24,1500,201901,24,2300,133122,796427,OHIO,39,2019,January,Flood,CLE,0,0,0,0,0.00K,0.00K,Local Official,Heavy Rain,41.03,-83.65,41.0414,-83.6481
23,2019,01,23,2220,201901,24,400,133122,796422,OHIO,39,2019,January,Flash Flood,CLE,0,0,0,0,50.00K,0.00K,911 Call Center,Ice Jam,41.42,-82.37,41.3939,-82.334
24,2019,01,23,1530,201901,24,0,133122,796423,OHIO,39,2019,January,Flood,CLE,0,0,0,0,20.00K,0.00K,Fire Department/Rescue,Ice Jam,41.6722,-81.4372,41.6606,-81.4228
25,2019,01,24,2000,201901,25,2000,133122,796424,OHIO,39,2019,January,Flood,CLE,0,0,0,0,0.00K,0.00K,911 Call Center,Ice Jam,41.2459,-80.9591,41.2328,-80.9673
26,2019,01,24,2200,201901,25,500,133122,796425,OHIO,39,2019,January,Flood,CLE,0,0,0,0,0.00K,0.00K,Local Official,Heavy Rain / Snow Melt,40.58,-83.32,40.5851,-83.3887
27,2019,01,1,0,201901,2,400,134184,803595,ARKANSAS,5,2019,January,Flood,LZK,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,35.0615,-93.3954,35.0596,-93.4011
28,2019,01,4,722,201901,6,915,134184,803599,ARKANSAS,5,2019,January,Flood,LZK,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,35.0618,-93.3943,35.058,-93.4018
29,2019,01,1,0,201901,10,900,133355,797942,INDIANA,18,2019,January,Flood,PAH,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,37.93,-87.9,37.9247,-87.8986
30,2019,01,1,0,201901,11,1900,133356,797943,KENTUCKY,21,2019,January,Flood,PAH,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,37.772,-87.9978,37.7639,-87.9542
31,2019,01,4,700,201901,11,700,133356,797945,KENTUCKY,21,2019,January,Flood,PAH,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,37.13,-88.4,37.1787,-88.4165
32,2019,01,1,600,201901,13,1800,133356,797946,KENTUCKY,21,2019,January,Flood,PAH,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,37.1055,-88.6137,37.1134,-88.6241
33,2019,01,1,300,201901,6,100,133356,797947,KENTUCKY,21,2019,January,Flood,PAH,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,37.27,-86.98,37.2682,-86.9638
34,2019,01,2,1700,201901,7,300,133357,797948,MISSOURI,29,2019,January,Flood,PAH,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,37.2531,-89.531,37.279,-89.5356
35,2019,01,4,0,201901,14,1200,133357,797949,MISSOURI,29,2019,January,Flood,PAH,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,36.5763,-89.5322,36.5856,-89.51799999999999
36,2019,01,1,0,201901,13,1020,134184,803607,ARKANSAS,5,2019,January,Flood,LZK,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,33.5964,-92.8368,33.5634,-92.8146
37,2019,01,4,1142,201901,4,2053,134184,803609,ARKANSAS,5,2019,January,Flood,LZK,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,34.1306,-93.0523,34.1025,-93.0472
38,2019,01,5,20,201901,6,1415,134184,803614,ARKANSAS,5,2019,January,Flood,LZK,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,35.0185,-92.735,35.004,-92.7356
39,2019,01,4,1730,201901,12,1000,134184,803616,ARKANSAS,5,2019,January,Flood,LZK,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,35.2766,-91.2443,35.2611,-91.2472
40,2019,01,3,1845,201901,31,2359,134184,803619,ARKANSAS,5,2019,January,Flood,LZK,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,35.2943,-91.4192,35.2729,-91.4253
41,2019,01,12,900,201901,31,2359,134201,803687,ARKANSAS,5,2019,January,Flood,LZK,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,34.7012,-91.3361,34.6609,-91.3246
42,2019,01,16,1800,201901,31,2359,134201,803688,ARKANSAS,5,2019,January,Flood,LZK,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,35.2764,-91.2459,35.2614,-91.2485
43,2019,01,24,1845,201901,27,2255,134202,803693,ARKANSAS,5,2019,January,Flood,LZK,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,33.6009,-92.8384,33.5599,-92.8224
44,2019,01,25,815,201901,31,2359,134202,803698,ARKANSAS,5,2019,January,Flood,LZK,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,35.1421,-91.4597,35.108000000000004,-91.4578
45,2019,03,9,2200,201903,9,2330,133828,800882,OHIO,39,2019,March,Flood,RLX,0,0,0,0,2.00K,0.00K,911 Call Center,Heavy Rain,38.7074,-82.6616,38.6078,-82.7288
46,2019,01,18,700,201901,18,1000,134368,805134,CALIFORNIA,6,2019,January,Coastal Flood,SGX,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,
47,2019,01,18,700,201901,18,1000,134368,805135,CALIFORNIA,6,2019,January,Coastal Flood,SGX,0,0,0,0,0.00K,0.00K,Trained Spotter,,,,,
48,2019,01,25,600,201901,31,2359,133366,798029,KENTUCKY,21,2019,January,Flood,PAH,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,37.7736,-87.9418,37.7782,-87.9824
49,2019,01,26,2000,201901,31,2359,133366,798030,KENTUCKY,21,2019,January,Flood,PAH,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,37.17,-88.9,37.0945,-88.6083
50,2019,01,2,1000,201901,9,1000,133355,797941,INDIANA,18,2019,January,Flood,PAH,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,37.9425,-87.3894,37.9391,-87.3987
51,2019,01,24,1200,201901,27,1400,133366,798031,KENTUCKY,21,2019,January,Flood,PAH,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,37.27,-86.98,37.2468,-86.9506
52,2019,01,9,600,201901,10,2100,134014,802220,IDAHO,16,2019,January,Flood,PIH,0,0,0,0,0.00K,0.00K,Emergency Manager,Ice Jam,43.73,-113.37,43.6788,-113.2992
53,2019,01,23,2000,201901,24,500,133367,798032,MISSOURI,29,2019,January,Flood,PAH,0,0,0,0,0.00K,0.00K,River/Stream Gage,Heavy Rain,37.1844,-90.5058,37.1847,-90.48700000000001
54,2019,01,16,300,201901,16,2200,133814,802185,CALIFORNIA,6,2019,January,Flood,EKA,0,0,0,0,0.00K,0.00K,Department of Highways,Heavy Rain,38.97,-123.11,38.9716,-123.11
55,2019,01,16,300,201901,16,2300,133814,802186,CALIFORNIA,6,2019,January,Flood,EKA,0,0,0,0,0.00K,0.00K,Department of Highways,Heavy Rain,39.19,-123.72,39.1898,-123.7229
56,2019,01,16,300,201901,16,2134,133814,802190,CALIFORNIA,6,2019,January,Flood,EKA,0,0,0,0,0.00K,0.00K,Law Enforcement,Heavy Rain,40.2,-123.77,40.1986,-123.7705
57,2019,01,16,300,201901,16,1740,133814,802191,CALIFORNIA,6,2019,January,Flood,EKA,0,0,0,0,0.00K,0.00K,Law Enforcement,Heavy Rain,40.33,-123.93,40.3295,-123.9289
58,2019,01,16,300,201901,19,1451,133814,802193,CALIFORNIA,6,2019,January,Flood,EKA,0,0,0,0,0.00K,0.00K,Law Enforcement,Heavy Rain,41.85,-123.9,41.8515,-123.898
