BEGIN_YEAR,BEGIN_MONTH,BEGIN_DAY,EVENT_ID,MONTH_NAME,EVENT_TYPE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,FLOOD_CAUSE,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
2019,02,14,800014,February,Flash Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,HAIKU,20.9177,-156.3282,20.921999999999997,-156.3141
2019,02,23,800018,February,Flash Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,KURTISTOWN,19.5721,-155.029,19.5738,-155.0273
2019,01,24,809140,January,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,TREMONT,38.8459,-77.2383,38.8467,-77.2375
2019,01,24,809141,January,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,VALE,38.9108,-77.363,38.9119,-77.3642
2019,01,24,809142,January,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,CLARKS CROSSING,38.9182,-77.3015,38.9159,-77.2967
2019,01,24,809143,January,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,KENMORE,38.926,-77.2661,38.9249,-77.2639
2019,01,24,809144,January,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,MT VERNON,38.7144,-77.1073,38.7147,-77.1072
2019,01,24,809134,January,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,CLIFTON,38.7979,-77.3557,38.7981,-77.3542
2019,01,24,809135,January,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,DONOVANS CORNER,38.77,-77.31,38.7706,-77.3088
2019,01,24,809139,January,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,BURKE,38.7883,-77.2665,38.7877,-77.2658
2019,01,20,809113,January,Flood,0,0,0,0,0.00K,0.00K,Heavy Rain,BLAIRTON,39.4485,-77.9266,39.3797,-77.9289
