BEGIN_YEAR,FLOOD_COUNT,DAMAGE_PROPERTY,DAMAGE_CROPS,DEATH_TOLL,TOTAL_INJURIES
1999,1374,75.93245999999986,16.325249999999983,68.0,301.0
2000,1482,93.66952000000012,16.222760000000008,39.0,47.0
2001,1727,101.05128999999981,8.07749999999999,52.0,277.0
2002,1551,77.5798000000002,5.0889999999999995,47.0,85.0
2003,2213,151.5438599999989,8.224499999999997,88.0,70.0
2004,2129,135.60335000000006,25.1065,82.0,128.0
2005,1932,151.97333000000035,9.000289999999996,43.0,38.0
2006,1792,89.53242000000026,13.484799999999996,79.0,31.0
2007,5467,152.95868,35.028400000000005,94.0,67.0
2008,6328,232.58861999999996,79.00215000000006,95.0,53.0
2009,6069,161.67211999999998,13.799799999999992,67.0,30.0
2010,6664,213.86650999999904,23.94424999999999,116.0,340.0
2011,7152,203.26509999999936,29.824500000000036,128.0,45.0
2012,3297,58.073380000000036,6.232,34.0,28.0
2013,6660,157.56022999999996,6.921649999999998,84.0,36.0
2014,5138,109.30166000000023,8.265299999999998,42.0,30.0
2015,7650,233.10708000000076,28.584000000000042,202.0,89.0
2016,5289,127.36295000000057,14.803769999999991,138.0,32.0
2017,6134,167.26590000000022,27.287490000000044,149.0,26.0
2018,9202,104.44856999999995,20.322120000000005,83.0,22.0
2019,1859,26.78861,0.964,12.0,11.0
