BEGIN_YEAR,BEGIN_MONTH,EVENT_ID,EVENT_TYPE,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,DEATH_TOLL,TOTAL_INJURIES
2019,03,801698,Hail,0.0,0.0,ACKERMAN,33.31,-89.18,33.31,-89.18,0,0
2019,03,802265,Hail,20.0,0.0,LINWOOD,32.678000000000004,-89.17200000000001,32.7848,-88.914,0,0
2019,03,802262,Hail,0.0,0.0,(GTR)COLUMBUS RGNL A,33.45,-88.59,33.45,-88.59,0,0
2019,03,802267,Hail,15.0,0.0,CLEVELAND,32.7848,-88.914,32.85,-88.66,0,0
2019,03,802268,Hail,0.0,0.0,LAKE,32.3221,-89.34200000000001,32.3221,-89.34200000000001,0,0
2019,03,805104,Hail,0.0,0.0,SCOOBA,32.83,-88.42,32.83,-88.42,0,0
2019,01,791996,Hail,0.0,0.0,MT VERNON,37.35,-84.35,37.35,-84.35,0,0
2019,03,808240,Hail,0.0,0.0,WHITE SPGS,30.34,-82.76,30.34,-82.76,0,0
2019,03,808402,Hail,0.0,0.0,EDGAR,29.62,-81.97,29.62,-81.97,0,0
2019,03,807739,Hail,0.0,0.0,STEGERS STORE,34.88,-86.57,34.88,-86.57,0,0
2019,03,807740,Hail,0.0,0.0,BELL FACTORY,34.83,-86.49,34.83,-86.49,0,0
2019,03,800493,Hail,0.0,0.0,SIDNEY,40.29,-84.16,40.29,-84.16,0,0
2019,03,810117,Hail,,0.0,REIDSVILLE,32.08,-82.1,32.08,-82.1,0,0
2019,03,808548,Hail,0.5,0.0,TRENTON,29.61,-82.82,29.61,-82.82,0,0
2019,03,810112,Hail,,0.0,GOOSE CREEK,32.98,-80.03,32.98,-80.03,0,0
2019,03,810114,Hail,,0.0,METTER,32.45,-82.07,32.45,-82.07,0,0
2019,03,810115,Hail,,0.0,PORTAL,32.54,-81.93,32.54,-81.93,0,0
2019,03,810116,Hail,,0.0,BOYD,32.69,-81.48,32.69,-81.48,0,0
2019,02,801574,Hail,0.01,0.01,IRMO,34.09,-81.18,34.09,-81.18,0,0
2019,01,793476,Hail,0.0,0.0,AVERY,33.552,-94.7791,33.552,-94.7791,0,0
2019,01,793477,Hail,0.0,0.0,FOREMAN,33.7214,-94.3924,33.7214,-94.3924,0,0
2019,01,795207,Hail,0.0,0.0,ELYRIA,41.37,-82.12,41.37,-82.12,0,0
2019,01,795206,Hail,0.0,0.0,(CGF)CUYAHOGA CO ARP,41.58,-81.49,41.58,-81.49,0,0
2019,01,795208,Hail,0.0,0.0,LA GRANGE,41.24,-82.12,41.24,-82.12,0,0
2019,01,795211,Hail,0.0,0.0,STRONGSVILLE ARPT,41.3,-81.86,41.3,-81.86,0,0
2019,01,807693,Hail,0.0,0.0,LINDSEY,41.4309,-83.2048,41.4309,-83.2048,0,0
2019,01,807694,Hail,0.0,0.0,AKRON MAYFIELD ARPT,40.9775,-81.4511,40.9775,-81.4511,0,0
2019,01,795212,Hail,0.0,0.0,PINN,40.8,-81.52,40.8,-81.52,0,0
2019,01,807695,Hail,0.0,0.0,MIDDLEBURGH HGTS,41.3977,-81.8036,41.3977,-81.8036,0,0
2019,01,807696,Hail,0.0,0.0,PLEASANT VLY,41.5985,-81.4183,41.5985,-81.4183,0,0
2019,01,795213,Hail,0.0,0.0,BEACHWOOD,41.48,-81.5,41.48,-81.5,0,0
2019,01,795202,Hail,0.0,0.0,VENANGO,41.77,-80.1,41.77,-80.1,0,0
2019,01,795203,Hail,0.0,0.0,FITCHVILLE,41.11,-82.45,41.11,-82.45,0,0
2019,01,807685,Hail,0.0,0.0,FLAT ROCK,41.2347,-82.8595,41.2347,-82.8595,0,0
2019,01,795205,Hail,0.0,0.0,ELYRIA,41.37,-82.08,41.37,-82.08,0,0
2019,01,801690,Hail,0.0,0.0,CHARLTON,32.58,-90.13,32.58,-90.13,0,0
2019,01,795209,Hail,0.0,0.0,BEACHWOOD,41.48,-81.5,41.48,-81.5,0,0
2019,01,795214,Hail,0.0,0.0,PINN,40.8,-81.52,40.8,-81.52,0,0
2019,01,795215,Hail,0.0,0.0,(CGF)CUYAHOGA CO ARP,41.58,-81.49,41.58,-81.49,0,0
2019,01,797541,Hail,0.0,0.0,PLEASANTON,37.67,-121.8434,37.67,-121.8434,0,0
2019,01,797542,Hail,0.0,0.0,REDWOOD CITY,37.4655,-122.27,37.4655,-122.27,0,0
2019,02,805299,Hail,0.0,0.0,CLINTON,35.51,-98.97,35.51,-98.97,0,0
2019,02,805302,Hail,0.0,0.0,WATONGA,35.84,-98.28,35.84,-98.28,0,0
2019,01,795204,Hail,0.0,0.0,BELLEVUE,41.27,-82.86,41.27,-82.86,0,0
2019,01,800731,Hail,0.0,0.0,MAYSVILLE,41.41,-80.48,41.41,-80.48,0,0
2019,01,800732,Hail,0.0,0.0,GREENVILLE,41.42,-80.4,41.42,-80.4,0,0
2019,01,800733,Hail,0.0,0.0,HADLEY,41.41,-80.25,41.41,-80.25,0,0
2019,01,800734,Hail,0.0,0.0,SCOTCH HILL,41.35,-79.27,41.35,-79.27,0,0
2019,01,800735,Hail,0.0,0.0,FISHER,41.3,-79.25,41.3,-79.25,0,0
2019,02,802838,Hail,0.0,0.0,PLEASANT HILL,37.9308,-122.0601,37.9308,-122.0601,0,0
2019,02,802839,Hail,0.0,0.0,CARMEL VLY,36.48,-121.73,36.48,-121.73,0,0
2019,02,806448,Hail,12.0,0.0,ALLIANCE,40.89,-124.08,40.89,-124.08,0,0
2019,02,801808,Hail,0.0,0.0,GLOSTER,31.19,-91.02,31.19,-91.02,0,0
2019,02,806458,Hail,3.0,0.0,FIELDS LNDG,40.72,-124.21,40.72,-124.21,0,0
2019,02,802027,Hail,0.0,0.0,WINDSOR,38.5602,-122.8331,38.5602,-122.8331,0,0
2019,02,802028,Hail,0.0,0.0,OCCIDENTAL,38.42,-122.95,38.42,-122.95,0,0
2019,02,802030,Hail,0.0,0.0,CORRALITOS,37.0573,-121.8115,37.0573,-121.8115,0,0
2019,02,802031,Hail,0.0,0.0,SAN JOSE,37.3734,-121.88,37.3734,-121.88,0,0
2019,02,806626,Hail,3.0,0.0,MC KINLEYVILLE,40.93,-124.11,40.93,-124.11,0,0
2019,02,802592,Hail,0.0,0.0,BOWIE,33.57,-97.85,33.57,-97.85,0,0
2019,02,802596,Hail,0.0,0.0,HASLET,32.97,-97.35,32.97,-97.35,0,0
2019,02,802597,Hail,0.0,0.0,ROANOKE,33.02,-97.18,33.02,-97.18,0,0
2019,02,802621,Hail,0.0,0.0,ROANOKE VLY ARPT,32.9916,-97.2913,32.9916,-97.2913,0,0
2019,02,795462,Hail,1.0,0.0,RAYMOND,37.2202,-119.9062,37.2195,-119.9029,0,0
2019,02,801355,Hail,0.0,0.0,RAGLEY,30.51,-93.23,30.51,-93.23,0,0
2019,02,801356,Hail,0.0,0.0,SPURGER,30.71,-94.19,30.71,-94.19,0,0
2019,03,810800,Hail,0.0,0.0,BLAKELY,31.3776,-84.934,31.3776,-84.934,0,0
2019,03,814908,Hail,5.0,0.0,ROSSMOOR,33.7859,-117.7473,33.7859,-117.7473,0,0
2019,03,816108,Hail,,,WELLS,39.11,-97.59,39.11,-97.59,0,0
2019,03,816110,Hail,,,AIKINS,39.41,-96.15,39.41,-96.15,0,0
2019,03,816111,Hail,,,VINING,39.57,-97.28,39.57,-97.28,0,0
2019,03,816112,Hail,,,ALIDA,39.11,-96.88,39.11,-96.88,0,0
2019,03,816113,Hail,,,BARNES,39.72,-96.83,39.72,-96.83,0,0
2019,03,816114,Hail,,,ALLEN,38.57,-96.17,38.57,-96.17,0,0
2019,03,803000,Hail,0.0,0.0,RANCHITOS,36.02,-106.07,36.02,-106.07,0,0
2019,03,803002,Hail,0.0,0.0,GLORIETA,35.59,-105.73,35.59,-105.73,0,0
2019,03,812590,Hail,0.0,0.0,WYANDOTTE,36.8512,-94.6661,36.8512,-94.6661,0,0
2019,03,812832,Hail,0.0,0.0,LENAPAH,36.9079,-95.63,36.9079,-95.63,0,0
2019,03,810161,Hail,,,COLORADO SPGS,38.82,-104.79,38.82,-104.79,0,0
2019,03,812433,Hail,0.0,0.0,DYER,41.4941,-87.5216,41.4941,-87.5216,0,0
2019,03,812434,Hail,0.0,0.0,HAMMOND,41.58,-87.48,41.58,-87.48,0,0
2019,03,812436,Hail,0.0,0.0,LOWELL,41.2391,-87.4745,41.2391,-87.4745,0,0
2019,03,812437,Hail,0.0,0.0,KOUTS,41.3779,-87.03,41.3779,-87.03,0,0
2019,03,812635,Hail,0.0,0.0,BURKEVILLE,30.97,-93.67,30.97,-93.67,0,0
2019,03,810801,Hail,0.0,0.0,REBECCA,31.79,-83.51,31.79,-83.51,0,0
2019,03,810802,Hail,0.0,0.0,ABBA,31.72,-83.38,31.72,-83.38,0,0
2019,03,816115,Hail,,,ROSSVILLE,39.16,-95.94,39.16,-95.94,0,0
2019,03,806399,Hail,0.0,0.0,WINNSBORO,32.9555,-95.2911,32.9555,-95.2911,0,0
2019,03,806400,Hail,0.0,0.0,WINNSBORO,32.949,-95.2941,32.949,-95.2941,0,0
2019,03,806177,Hail,0.0,0.0,COLLINSVILLE,34.29,-85.84,34.29,-85.84,0,0
2019,03,808474,Hail,,,(CTY)CROSS CITY ARPT,29.69,-83.02,29.69,-83.02,0,0
2019,03,808475,Hail,,,TURNER CITY,31.57,-84.06,31.57,-84.06,0,0
2019,02,799212,Hail,0.0,0.0,SAND HILL,32.4837,-89.8878,32.4837,-89.8878,0,0
2019,03,812426,Hail,0.0,0.0,MAZON,41.25899999999999,-88.43,41.25899999999999,-88.43,0,0
2019,03,812427,Hail,0.0,0.0,MORRIS,41.37,-88.42,41.37,-88.42,0,0
2019,03,812428,Hail,0.0,0.0,SHOREWOOD,41.4995,-88.2273,41.52,-88.2193,0,0
2019,03,814867,Hail,0.0,0.0,JASPER,33.82,-87.28,33.82,-87.28,0,0
2019,03,814868,Hail,0.0,0.0,NEW LEXINGTON,33.57,-87.66,33.57,-87.66,0,0
2019,03,814869,Hail,0.0,0.0,NEW LEXINGTON,33.54,-87.65,33.54,-87.65,0,0
2019,03,814873,Hail,0.0,0.0,COKER,33.19,-87.73,33.19,-87.73,0,0
2019,03,810803,Hail,0.0,0.0,PINETTA,31.56,-83.38,31.56,-83.38,0,0
2019,03,810804,Hail,0.0,0.0,CHULA,31.55,-83.55,31.55,-83.55,0,0
2019,03,805218,Hail,0.0,0.0,DURHAM,38.44,-97.23,38.44,-97.23,0,0
2019,03,812596,Hail,0.0,0.0,MOUNDS,35.8702,-96.0603,35.8702,-96.0603,0,0
2019,03,812599,Hail,0.0,0.0,OKMULGEE,35.6299,-95.9559,35.6299,-95.9559,0,0
2019,03,812601,Hail,0.0,0.0,STIGLER,35.1921,-95.13,35.1921,-95.13,0,0
2019,03,806401,Hail,0.0,0.0,PERRYVILLE,32.8638,-95.1574,32.8638,-95.1574,0,0
2019,03,806178,Hail,0.0,0.0,COLLINSVILLE,34.24,-85.91,34.24,-85.91,0,0
2019,03,806388,Hail,0.0,0.0,NEWTOWN,41.41,-73.32,41.41,-73.32,0,0
2019,03,806389,Hail,0.0,0.0,NEWTOWN,41.41,-73.32,41.41,-73.32,0,0
2019,03,806391,Hail,0.0,0.0,RIDGEWOOD,40.98,-74.11,40.98,-74.11,0,0
2019,03,806393,Hail,0.0,0.0,WEST ORANGE,40.79,-74.26,40.79,-74.26,0,0
2019,03,806334,Hail,0.0,0.0,LOMA,39.22,-108.81,39.22,-108.81,0,0
2019,03,808477,Hail,0.0,0.0,ENON,31.01,-83.74,31.01,-83.74,0,0
2019,03,808478,Hail,0.0,0.0,SCHLEY,31.24,-83.83,31.24,-83.83,0,0
2019,03,808479,Hail,0.0,0.0,DIXIE,30.78,-83.66,30.78,-83.66,0,0
2019,03,808480,Hail,0.0,0.0,SAND HILL,30.98,-83.65,30.98,-83.65,0,0
2019,03,808481,Hail,0.0,0.0,ASHBURN-TURNER ARPT,31.72,-83.58,31.72,-83.58,0,0
2019,03,808482,Hail,,,AMBOY,31.79,-83.59,31.79,-83.59,0,0
2019,03,812429,Hail,0.0,0.0,ASHKUM,40.88,-87.95,40.88,-87.95,0,0
2019,03,812432,Hail,0.0,0.0,STEGER,41.47,-87.55,41.47,-87.55,0,0
2019,03,812518,Hail,0.0,0.0,CROWEBURG,37.56,-94.65,37.56,-94.65,0,0
2019,03,812634,Hail,0.0,0.0,VINTON,30.18,-93.56,30.18,-93.56,0,0
2019,03,812970,Hail,,,MIDDLE WATER,35.88,-102.75,35.88,-102.75,0,0
2019,03,814874,Hail,0.0,0.0,DRIFTON,33.63,-87.32,33.63,-87.32,0,0
2019,03,814875,Hail,0.0,0.0,PALMETTO,33.51,-87.89,33.51,-87.89,0,0
2019,03,810806,Hail,0.0,0.0,ALAPAHA,31.4,-83.24,31.4,-83.24,0,0
2019,03,812602,Hail,0.0,0.0,SALLISAW,35.4411,-94.8,35.4411,-94.8,0,0
2019,03,812605,Hail,0.0,0.0,WILBURTON,34.92,-95.3553,34.92,-95.3553,0,0
2019,03,812606,Hail,0.0,0.0,SPIRO,35.23,-94.6477,35.23,-94.6477,0,0
2019,03,812609,Hail,0.0,0.0,SHADY PT,35.13,-94.67,35.13,-94.67,0,0
2019,03,812610,Hail,0.0,0.0,FAYETTEVILLE,36.0811,-94.2031,36.0811,-94.2031,0,0
2019,03,812616,Hail,0.0,0.0,OZARK,35.5409,-93.8803,35.5409,-93.8803,0,0
2019,03,806405,Hail,0.0,0.0,WALKERS MILL,32.5754,-94.4963,32.5754,-94.4963,0,0
2019,03,801819,Hail,,,POTTSTOWN,40.25,-75.63,40.25,-75.63,0,0
