BEGIN_YEAR,HAIL_COUNT,DAMAGE_PROPERTY,DAMAGE_CROPS,DEATH_TOLL,TOTAL_INJURIES
1999,1052,25130.399999999987,27679.299999999996,0,46
2000,1418,34848.510000000024,36400.599999999984,2,57
2001,1719,28074.04999999994,24362.570000000003,0,32
2002,1750,31964.53999999994,30498.22,0,125
2003,1915,42905.97999999999,33693.450000000004,0,121
2004,1429,27425.40999999991,35410.7,0,4
2005,1349,33406.739999999954,18800.36,1,8
2006,2250,49582.240000000005,25384.659999999993,0,18
2007,11281,20794.75,19401.8,0,28
2008,15167,46102.450000000004,62325.85,2,13
2009,10281,43828.119999999995,28314.679999999997,0,72
2010,8113,27889.55,15065.15,0,49
2011,12884,56416.16,25904.6,2,35
2012,9533,70253.60999999999,36468.560000000005,0,58
2013,7340,48100.03999999999,9131.0,0,6
2014,7686,39456.049999999996,13267.050000000001,3,23
2015,6857,20191.52,16586.5,0,1
2016,6969,27005.689999999995,15243.220000000001,0,24
2017,7707,49510.51999999995,11709.930000000004,2,15
2018,5562,23027.649999999994,7520.300000000002,0,30
2019,517,1797.62,0.12000000000000001,0,1
