BEGIN_YEAR,BEGIN_MONTH,EVENT_ID,EVENT_TYPE,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,DEATH_TOLL,TOTAL_INJURIES
2019,01,805148,Lightning,2.0,0.0,RANCHO SANTA FE,33.0442,-117.1622,33.0442,-117.1622,0,0
2019,01,801605,Lightning,1.0,0.0,WOODLAWN,34.94,-91.86,34.94,-91.86,0,0
2019,03,810118,Lightning,5.0,0.0,GUM BRANCH,31.8,-81.63,31.8,-81.63,0,0
2019,01,804960,Lightning,1.0,0.0,GRIDLEY,39.37,-121.69,39.37,-121.69,0,0
2019,02,808684,Lightning,0.0,0.0,(LIT)LITTLE ROCK ADA,34.7292,-92.2218,34.7292,-92.2218,0,1
2019,02,809846,Lightning,5.0,0.0,POPLAR SPGS,36.3653,-85.47,36.3653,-85.47,0,0
2019,03,816045,Lightning,10.0,0.0,ENTERPRISE,40.56,-122.32,40.56,-122.32,0,0
2019,03,801823,Lightning,2.0,0.01,NEWBERRY,34.28,-81.61,34.28,-81.61,0,0
2019,02,810862,Lightning,100.0,0.0,FAIRVIEW,35.9589,-87.1333,35.9589,-87.1333,0,0
2019,03,805592,Lightning,0.0,0.0,SAN JOSE,37.33,-121.88,37.33,-121.88,0,0
2019,03,805597,Lightning,0.0,0.0,SAN JOSE,37.3155,-121.88,37.3155,-121.88,0,0
2019,03,813712,Lightning,5.0,0.0,PACE,30.6,-87.1164,30.6,-87.1164,0,0
2019,03,813715,Lightning,10.0,0.0,MILTON,30.63,-87.03,30.63,-87.03,0,0
2019,03,812520,Lightning,10.0,0.0,SHERRILL,37.55,-91.87,37.55,-91.87,0,0
2019,03,813714,Lightning,10.0,0.0,MILTON,30.6198,-87.0419,30.6198,-87.0419,0,0
2019,02,809848,Lightning,100.0,0.0,GLADDICE,36.3455,-85.8075,36.3455,-85.8075,0,0
2019,02,796963,Lightning,8.0,0.0,MARSHFIELD,37.34,-92.91,37.34,-92.91,0,0
2019,02,796964,Lightning,10.0,0.0,MOUNTAIN GROVE,37.15,-92.26,37.15,-92.26,0,0
