BEGIN_YEAR,Lightning_COUNT,DAMAGE_PROPERTY,DAMAGE_CROPS,DEATH_TOLL,TOTAL_INJURIES
1999,494,19769.56,35.0,46,243
2000,535,26173.329999999998,130.0,52,371
2001,494,30725.69,9.8,44,372
2002,575,30300.850000000002,19.0,51,256
2003,416,22212.269999999997,43.0,44,238
2004,407,21650.359999999997,41.8,33,279
2005,531,38368.18,415.0,38,309
2006,533,34977.09,14.0,46,245
2007,712,42445.95,62.0,53,175
2008,786,34986.81,103.0,30,257
2009,708,34067.15,11.0,38,234
2010,846,43316.54999999999,451.5,33,208
2011,750,32886.42,111.8,31,204
2012,578,37801.46,446.0,37,178
2013,464,19601.5,59.1,25,174
2014,488,17427.45,12.2,27,173
2015,396,13316.22,1.5,28,145
2016,387,18826.910000000003,6.1,42,136
2017,354,13091.530000000006,1.23,22,100
2018,386,12365.550000000001,2.6000000000000005,20,89
2019,18,279.0,0.01,0,1
