BEGIN_YEAR,BEGIN_MONTH,EVENT_ID,EVENT_TYPE,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,DEATH_TOLL,TOTAL_INJURIES
2019,03,814097,Thunderstorm Wind,0.0,0.0,CADDO GAP,34.4,-93.62,34.4,-93.62,0,0
2019,03,814096,Thunderstorm Wind,0.0,0.0,SUBIACO,35.3,-93.64,35.3,-93.64,0,0
2019,03,801697,Thunderstorm Wind,5.0,0.0,CHESTER,33.39,-89.28,33.39,-89.28,0,0
2019,03,801700,Thunderstorm Wind,4.0,0.0,COLLEGE,33.4797,-88.4244,33.4797,-88.4244,0,0
2019,03,802258,Thunderstorm Wind,3.0,0.0,FRENCH CAMP,33.3673,-89.3505,33.3673,-89.3505,0,0
2019,03,802266,Thunderstorm Wind,10.0,0.0,FORESTDALE,32.79,-88.93,32.79,-88.93,0,0
2019,03,802270,Thunderstorm Wind,4.0,0.0,BAY SPGS THIGPEN ARP,31.9362,-89.2703,31.9362,-89.2703,0,0
2019,03,802271,Thunderstorm Wind,4.0,0.0,DALEVILLE,32.57,-88.68,32.57,-88.68,0,0
2019,03,802273,Thunderstorm Wind,25.0,0.0,ROSEDALE,33.85,-91.03,33.95,-90.72,0,0
2019,03,802274,Thunderstorm Wind,0.0,0.0,ALLIGATOR,34.09,-90.72,34.09,-90.72,0,0
2019,03,802260,Thunderstorm Wind,10.0,0.0,CAHNS,33.6292,-88.75,33.6292,-88.75,0,0
2019,03,802259,Thunderstorm Wind,3.0,0.0,MABEN,33.5102,-89.0191,33.5102,-89.0191,0,0
2019,03,802263,Thunderstorm Wind,40.0,0.0,FLYNN,33.5287,-88.4365,33.5211,-88.4267,0,0
2019,03,802264,Thunderstorm Wind,10.0,0.0,STEENS,33.54,-88.31,33.54,-88.31,0,0
2019,03,805105,Thunderstorm Wind,4.0,0.0,CYNTHIA,32.4,-90.28,32.4,-90.28,0,0
2019,03,805107,Thunderstorm Wind,2.0,0.0,MADISON CAMPBELL ARP,32.4177,-90.1009,32.4177,-90.1009,0,0
2019,03,802261,Thunderstorm Wind,5.0,0.0,WEST PT,33.61,-88.68,33.61,-88.68,0,0
2019,01,795299,Thunderstorm Wind,1.0,0.0,HAWTHORNE,29.6,-82.09,29.6,-82.09,0,0
2019,01,795300,Thunderstorm Wind,1.0,0.0,INTERLACHEN,29.64,-81.9,29.64,-81.9,0,0
2019,01,795291,Thunderstorm Wind,3.0,0.0,HAWTHORNE,29.57,-82.07,29.57,-82.07,0,0
2019,01,795292,Thunderstorm Wind,1.0,0.0,INTERLACHEN,29.64,-81.9,29.64,-81.9,0,0
2019,01,795297,Thunderstorm Wind,1.0,0.0,PINE LAKES,29.55,-81.25,29.55,-81.25,0,0
2019,01,795298,Thunderstorm Wind,1.0,0.0,PINE LAKES,29.52,-81.22,29.52,-81.22,0,0
2019,03,808241,Thunderstorm Wind,1.0,0.0,PHIFER,29.71,-82.39,29.71,-82.39,0,0
2019,03,801335,Thunderstorm Wind,1.0,0.0,NEW LEXINGTON,39.71,-82.21,39.71,-82.21,0,0
2019,03,808242,Thunderstorm Wind,0.0,0.0,PALM COAST TOWN CENTER,29.5,-81.22,29.5,-81.22,0,0
2019,03,808243,Thunderstorm Wind,0.0,0.0,MAYDAY,30.826,-83.0027,30.826,-83.0027,0,0
2019,03,808244,Thunderstorm Wind,0.5,0.0,TOLEDO,30.64,-82.06,30.64,-82.06,0,0
2019,03,801331,Thunderstorm Wind,1.0,0.0,ROYERSVILLE,38.6213,-82.6571,38.6213,-82.6571,0,0
2019,03,801332,Thunderstorm Wind,4.0,0.0,THORNVILLE,39.9,-82.46,39.9,-82.46,0,0
2019,03,801334,Thunderstorm Wind,2.0,0.0,CORNING,39.6,-82.09,39.6,-82.09,0,0
2019,03,808550,Thunderstorm Wind,1.0,0.0,TRENTON,29.5842,-82.8232,29.5842,-82.8232,0,0
2019,03,808403,Thunderstorm Wind,0.0,0.0,(GNV)GAINESVILLE ARP,29.67,-82.25,29.67,-82.25,0,0
2019,03,808404,Thunderstorm Wind,0.0,0.0,BUNNELL,29.45,-81.27,29.45,-81.27,0,0
2019,03,810119,Thunderstorm Wind,,0.0,BASCOM,32.84,-81.67,32.84,-81.67,0,0
2019,03,810120,Thunderstorm Wind,,0.0,MIDWAY,31.77,-81.45,31.77,-81.45,0,0
2019,03,808534,Thunderstorm Wind,0.0,0.0,MORA,31.49,-83.02,31.49,-83.02,0,0
2019,03,810113,Thunderstorm Wind,,0.0,ESTILL,32.78,-81.28,32.78,-81.28,0,0
2019,03,810986,Thunderstorm Wind,,,LARGO,38.9,-76.79,38.9,-76.79,0,0
2019,03,810981,Thunderstorm Wind,,,VALE,39.53,-76.4,39.53,-76.4,0,0
2019,03,810987,Thunderstorm Wind,,,PARIS,38.71,-76.56,38.71,-76.56,0,0
2019,03,810985,Thunderstorm Wind,,,LUXMANOR,39.03,-77.13,39.03,-77.13,0,0
