BEGIN_YEAR,BEGIN_MONTH,EVENT_ID,EVENT_TYPE,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,DEATH_TOLL,TOTAL_INJURIES
2019,01,792082,Tornado,10.0,0.0,ZETTO,31.5976,-84.9635,31.6003,-84.9611,0,0
2019,01,792085,Tornado,0.0,0.0,LAWRENCEVILLE,31.6165,-85.2788,31.6169,-85.2763,0,0
2019,02,801579,Tornado,,,DORANGE,33.2551,-80.6976,33.2554,-80.687,0,0
2019,01,803186,Tornado,20.0,0.0,(PAM)TYNDALL AFB,30.0716,-85.6074,30.0794,-85.5974,0,0
2019,01,795947,Tornado,0.0,0.0,SANTA CRUZ,36.96,-122.04,36.96,-122.04,0,0
2019,01,803295,Tornado,0.0,0.0,COTTAGE GROVE,32.8535,-86.1551,32.8762,-86.1439,0,0
2019,01,802444,Tornado,45.0,0.0,SINGLETON,32.8759,-89.51700000000001,32.896,-89.5194,0,0
2019,01,803243,Tornado,0.0,0.0,TYLER,32.3481,-86.9096,32.3934,-86.8372,0,0
2019,01,795219,Tornado,250.0,0.0,BAZETTA,41.3226,-80.8153,41.3303,-80.7285,0,0
2019,01,802646,Tornado,0.0,0.0,LORENZO,41.3494,-88.2408,41.3493,-88.2419,0,0
2019,01,793391,Tornado,500.0,0.0,ACADEMY,36.84,-119.56,36.8403,-119.544,0,0
2019,01,796257,Tornado,0.0,0.0,SANTA CRUZ,36.9569,-122.0181,36.9569,-122.0181,0,0
2019,01,803245,Tornado,0.0,0.0,INDEPENDENCE,32.4847,-86.7275,32.5467,-86.59,0,2
2019,01,802445,Tornado,10.0,0.0,STAR,32.1407,-90.0569,32.1651,-90.0204,0,0
2019,01,802446,Tornado,50.0,0.0,ROOK HILL,32.203,-89.9774,32.2256,-89.9452,0,0
2019,01,795472,Tornado,1.38,0.0,LAKE MONROE,28.8225,-81.3219,28.8268,-81.3155,0,0
2019,01,802448,Tornado,10.0,0.0,WILLIAMSVILLE,32.7283,-89.1581,32.7319,-89.1571,0,0
2019,01,803244,Tornado,0.0,0.0,MULBERRY,32.3934,-86.8372,32.3981,-86.8233,0,0
2019,01,800737,Tornado,5.0,0.0,NEW LEBANON,41.44,-80.06,41.44,-80.06,0,0
2019,01,803261,Tornado,0.0,0.0,WETUMPKA,32.5202,-86.23700000000001,32.6824,-85.9927,0,4
2019,01,804696,Tornado,,,MIAMI LAKE,25.8913,-80.3236,25.8928,-80.3167,0,0
2019,01,804729,Tornado,,,OKEELANTA,26.548000000000002,-80.7152,26.5497,-80.7121,0,0
2019,02,797836,Tornado,0.0,0.0,HOSPAH,35.8564,-107.315,35.8582,-107.3113,0,0
