BEGIN_YEAR,TORNADO_COUNT,DAMAGE_PROPERTY,DAMAGE_CROPS,DEATH_TOLL,TOTAL_INJURIES
1965,990,46.68650999999968,0.0,301.0,5197.0
1999,762,66.89731999999998,3.774499999999999,94.0,1842.0
2000,546,42.74131000000005,1.8780999999999992,41.0,882.0
2001,712,59.957600000000056,3.9139999999999984,40.0,743.0
2002,552,44.10211000000003,0.7990100000000002,55.0,968.0
2003,724,55.93170000000007,2.221199999999998,54.0,1087.0
2004,875,69.57493000000012,7.136499999999994,35.0,396.0
2005,600,58.587109999999996,9.977099999999993,38.0,537.0
2006,673,66.5693400000001,2.690999999999999,67.0,986.0
2007,1152,60.07170000000002,3.268499999999998,81.0,625.0
2008,1798,115.90925999999999,16.306700000000006,132.0,1731.0
2009,1141,71.45900000000012,4.491499999999995,25.0,407.0
2010,1272,88.28014000000006,4.667599999999995,47.0,707.0
2011,1918,145.43895999999992,17.86694000000001,567.0,5646.0
2012,883,57.83895000000004,1.0564999999999998,71.0,846.0
2013,942,64.69880000000003,3.100499999999997,55.0,757.0
2014,907,50.99165000000003,3.561699999999991,49.0,648.0
2015,1122,50.638610000000014,3.24075,36.0,925.0
2016,924,49.27823000000005,2.318099999999999,18.0,326.0
2017,1391,98.90251999999995,7.816999999999996,37.0,520.0
2018,1048,55.20955999999998,1.0693499999999996,12.0,207.0
2019,164,9.187179999999998,0.035,25.0,132.0
