BEGIN_YEAR,WINTERWEATHER_COUNT,DAMAGE_PROPERTY,DAMAGE_CROPS,DEATH_TOLL,TOTAL_INJURIES
1999,139,2.6045,0.0,2.0,90.0
2000,191,0.7870000000000005,0.0,1.0,2.0
2001,154,0.7910000000000006,0.0,0.0,65.0
2002,92,0.3900000000000002,0.0,1.0,3.0
2003,66,0.5310000000000001,0.0,4.0,12.0
2004,68,0.5065000000000002,0.0,15.0,21.0
2005,260,3.2769999999999895,0.0,9.0,36.0
2006,665,2.6844999999999866,0.0,23.0,87.0
2007,3234,3.572199999999985,0.0,58.0,421.0
2008,3617,6.2866499999999785,0.0,105.0,666.0
2009,2539,4.064999999999995,0.0,64.0,589.0
2010,3244,4.900299999999993,0.015,79.0,451.0
2011,2915,4.723849999999987,0.0,59.0,295.0
2012,2157,2.9515999999999964,0.0,30.0,163.0
2013,3627,4.790999999999993,0.0,55.0,273.0
2014,3563,3.0334999999999974,0.0,74.0,1148.0
2015,3225,3.392799999999994,0.0,54.0,385.0
2016,2146,3.4968999999999952,0.0,50.0,219.0
2017,1970,2.958499999999997,0.0,31.0,50.0
2018,3529,4.23569999999999,0.001,66.0,248.0
2019,1757,1.9814999999999998,0.0,38.0,74.0
