YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201902,133994,802828,2,1.13,"N","SANTA VENETIA",37.9964,-122.5289,3759784,12231734
201902,133994,802828,3,1.12,"N","SANTA VENETIA",37.9962,-122.5291,3759772,12231746
201902,133994,802828,4,1.13,"N","SANTA VENETIA",37.9963,-122.5292,3759778,12231752
201902,133994,802832,1,9.44,"NE","SALVADOR",38.4468,-122.1969,3826808,12211814
201902,133994,802832,2,9.44,"NE","SALVADOR",38.4466,-122.1968,3826796,12211808
201902,133994,802832,3,9.43,"NE","SALVADOR",38.4466,-122.197,3826796,12211820
201902,133994,802832,4,9.43,"NE","SALVADOR",38.4467,-122.1971,3826802,12211826
201902,134063,802508,1,5.56,"N","CAPE CANAVERAL",28.46,-80.59,2827600,8035400
201902,134063,802509,1,1.62,"NNW","MELBOURNE",28.101,-80.612,286060,8036720
201902,134064,802510,1,4.87,"N","SATELLITE BEACH",28.24,-80.61,2814400,8036600
201902,134064,802511,1,26.72,"ENE","CAPE CANAVERAL",28.508,-80.185,2830480,8011100
201902,134073,802592,1,0,"N","BOWIE",33.57,-97.85,3334200,9751000
201902,134073,802596,1,0,"N","HASLET",32.97,-97.35,3258200,9721000
201902,134073,802597,1,0,"N","ROANOKE",33.02,-97.18,331200,9710800
201902,134073,802598,1,0,"N","(DFW)DALLAS-FT WORTH",32.9,-97.03,3254000,971800
201902,134073,802601,1,0,"N","CELESTE",33.28,-96.2,3316800,9612000
201902,134073,802603,1,0,"N","MERIT",33.22,-96.28,3313200,9616800
201902,134073,802614,1,1.98,"SE","DINSMOER",33.1988,-95.807,3311928,9548420
201902,134073,802618,1,1.68,"SW","HICKS",32.9025,-97.4402,3254150,9726412
201902,134073,802621,1,5.37,"SW","ROANOKE VLY ARPT",32.9916,-97.2913,3259496,9717478
201902,134085,802746,1,19.87,"WNW","WILLOWICK",41.7773,-81.8223,4146638,8149338
201902,134085,802747,1,13.69,"WSW","WILLOWICK",41.5163,-81.7256,4130978,8143536
201902,134085,809217,1,15.59,"NE","WILLOWICK",41.78,-81.287,4146800,8117220
201902,134085,809241,1,77.34,"ENE","WILLOWICK",42.1426,-80.1704,428556,8010224
201902,134085,809242,1,81.18,"NE","WILLOWICK",42.3263,-80.237,4219578,8014220
